
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
90032,6.314,1.150,15.554,-0.076,0.058,0.050,4.23,-22.04
90282,6.308,1.096,15.566,-0.082,0.052,0.056,4.03,-22.01
90532,6.276,1.118,15.562,-0.080,0.040,0.052,4.11,-21.91
90782,6.298,1.134,15.570,-0.076,0.056,0.048,4.17,-21.97
91033,6.300,1.096,15.584,-0.116,-0.036,0.062,4.02,-21.96
91283,6.286,1.120,15.540,-0.092,0.018,0.054,4.12,-21.97
91533,6.292,1.108,15.540,-0.084,0.034,0.052,4.08,-21.99
91783,6.344,1.094,15.532,-0.078,0.050,0.048,4.03,-22.17
92033,6.246,1.158,15.542,-0.078,0.056,0.050,4.26,-21.84
92283,6.300,1.134,15.542,-0.230,-0.248,0.096,4.17,-22.01
92533,6.280,1.126,15.548,-0.050,0.130,0.034,4.14,-21.94
92783,6.326,1.094,15.540,-0.068,0.088,0.040,4.03,-22.10
93034,6.286,1.106,15.552,-0.050,0.122,0.040,4.07,-21.96
93284,6.368,1.048,15.572,-0.104,-0.016,0.068,3.85,-22.20
93534,6.284,1.136,15.548,-0.088,0.052,0.054,4.18,-21.95
93784,6.304,1.100,15.580,-0.074,0.054,0.052,4.04,-21.98
94034,6.314,1.112,15.576,-0.086,0.040,0.050,4.08,-22.02
94284,6.308,1.082,15.568,-0.096,0.038,0.038,3.98,-22.01
94534,6.294,1.116,15.572,-0.094,0.020,0.062,4.10,-21.96
94784,6.342,1.100,15.546,-0.076,0.050,0.064,4.05,-22.14
95035,6.294,1.096,15.536,-0.078,0.086,0.052,4.04,-22.00
95285,6.286,1.114,15.546,-0.082,0.038,0.054,4.10,-21.96
95535,6.302,1.092,15.574,-0.054,0.120,0.044,4.01,-21.98
95785,6.326,1.090,15.534,-0.066,0.060,0.054,4.01,-22.11
96035,6.292,1.140,15.550,-0.094,0.014,0.050,4.19,-21.98
96285,6.218,1.154,15.508,-0.174,-0.176,0.080,4.26,-21.79
96535,6.378,1.082,15.576,0.018,0.258,0.016,3.97,-22.22
96785,6.354,1.112,15.558,-0.130,-0.060,0.064,4.09,-22.16
97036,6.278,1.122,15.574,-0.066,0.086,0.050,4.12,-21.90
97286,6.282,1.122,15.536,-0.078,0.052,0.050,4.13,-21.96
97536,6.316,1.108,15.574,-0.078,0.054,0.052,4.07,-22.02
97786,6.296,1.108,15.572,-0.090,0.022,0.056,4.07,-21.96
98036,6.286,1.154,15.532,-0.080,0.050,0.042,4.25,-21.98
98286,6.304,1.118,15.564,-0.086,0.034,0.054,4.11,-22.00
