
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps
69521,-0.189,-0.194,0.972,13.328,-154.916,-61.099
69771,-0.024,-0.406,1.674,-19.145,77.588,73.939
70021,0.026,-0.201,0.677,-101.084,45.695,69.344
70271,-0.127,-0.105,0.590,-7.191,-43.740,-29.832
70521,-0.286,-0.347,0.771,5.954,-33.542,-57.069
70771,-0.339,-0.613,0.853,-0.672,-18.824,46.947
71021,0.045,-0.569,1.021,-8.229,-13.008,102.733
71271,-0.123,-0.577,0.717,-4.931,-33.725,43.053
71521,-0.246,-0.537,0.939,-0.427,-35.053,66.061
71771,-0.188,-0.281,0.916,61.863,2.168,80.504
72021,-0.267,-0.562,1.069,104.550,-98.458,91.405
72271,-0.265,-0.206,0.775,-61.405,-1.389,-3.557
72521,-0.127,-0.327,1.230,-4.931,-33.282,48.718
72771,-0.044,-0.372,0.826,-78.718,73.954,-41.740
73021,-0.231,-0.860,1.100,38.015,-31.863,-119.450
73271,-0.281,-1.023,0.655,24.779,13.344,2.595
73521,-0.119,-0.501,1.197,17.893,-10.962,16.702
73771,-0.231,-0.259,0.590,-81.023,42.153,-8.153
74021,-0.211,-0.482,0.983,-5.038,22.427,-21.511
74271,-0.101,-0.323,0.671,-12.321,-15.771,-20.580
74521,-0.263,-0.747,1.173,17.450,-17.863,105.084
74771,-0.169,-0.282,0.539,3.359,52.000,78.153
75021,-0.262,-0.289,0.746,13.588,-31.374,-37.924
75271,-0.245,-0.435,0.867,-62.840,-11.252,0.504
75521,-0.424,-0.402,0.864,23.740,-21.954,36.992
75771,-0.318,-0.755,0.939,12.947,-16.672,59.786
76021,-0.178,-0.263,0.616,-4.305,10.046,90.870
76271,-0.282,-0.303,1.377,-27.282,-26.092,-26.015
76521,-0.225,-0.130,0.910,10.992,-100.504,50.901
76771,0.213,-0.105,1.411,117.359,-54.244,38.824
77021,-0.007,0.123,1.139,28.290,-49.008,80.412
77271,-0.001,-0.100,0.970,63.206,-21.450,-20.504
77521,0.383,0.117,0.632,240.076,-145.359,42.794
77771,0.405,0.278,0.849,-189.710,146.046,31.038
78021,-0.097,0.131,0.727,-250.122,5.740,-46.885
78271,0.829,0.421,1.816,23.298,-85.038,184.748
78521,0.181,-0.314,0.437,-36.366,143.252,-5.405
78771,-0.221,0.627,0.686,-62.626,-23.267,7.069
79021,0.309,0.668,0.810,166.611,-181.374,-6.519
79271,-0.123,1.059,-0.261,-97.954,10.473,-1.588
79521,0.080,1.188,-0.020,9.298,-18.382,-16.305
79771,-0.408,1.078,0.335,-60.489,-123.145,-233.130
80021,-0.735,0.801,-0.119,121.038,-29.603,-13.084
80271,-0.584,0.810,-0.165,77.420,23.924,-8.122
80521,-0.575,0.671,-0.275,38.015,-43.328,19.496
80771,-0.654,0.978,0.088,45.634,-42.061,-2.901
81021,-0.738,0.551,0.022,-20.565,-40.198,8.031
81271,-0.655,0.677,-0.213,38.626,32.550,5.481
81521,-0.563,0.843,-0.156,21.435,-30.183,3.359
81771,-0.661,0.703,-0.191,-57.282,23.527,-3.313
82021,-0.705,0.756,-0.020,8.443,-10.977,-4.733
82271,-0.692,0.707,0.026,7.160,-10.107,-4.626
82521,-0.723,0.721,0.043,-10.565,0.122,2.687
82771,-0.709,0.698,0.060,-0.565,-1.817,-1.221
83021,-0.714,0.705,0.076,1.954,-1.985,-0.855
83271,-0.726,0.694,0.070,4.137,0.107,-1.969
83521,-0.726,0.687,0.060,-2.397,2.046,0.122
83771,-0.720,0.695,0.068,-0.733,-0.092,-0.824
84021,-0.720,0.695,0.079,-0.275,0.748,-0.366
84271,-0.722,0.697,0.073,-0.458,2.000,-0.260
84521,-0.720,0.696,0.078,-1.069,0.733,-0.153
84771,-0.721,0.693,0.080,1.053,-1.649,-0.611
85021,-0.728,0.692,0.075,-1.634,2.122,0.031
85271,-0.719,0.692,0.081,-1.221,0.840,-0.702
85521,-0.726,0.696,0.088,-0.061,-1.389,-0.351
85771,-0.713,0.692,0.079,2.321,-2.336,-1.038
86021,-0.720,0.691,0.084,0.290,0.489,-0.550
86271,-0.720,0.693,0.085,1.481,-0.870,-0.763
86521,-0.730,0.696,0.099,-0.702,0.290,-0.809
86771,-0.719,0.693,0.090,-0.183,1.435,0.046
87021,-0.724,0.696,0.083,-0.595,-0.137,0.122
87271,-0.717,0.692,0.093,-2.061,1.969,-0.412
87521,-0.718,0.694,0.097,-1.160,0.641,-0.427
87771,-0.717,0.693,0.101,-1.053,0.076,-0.260
88021,-0.708,0.694,0.106,-0.412,-0.443,-0.290
88271,-0.719,0.695,0.106,-0.519,0.962,-0.534
88521,-0.717,0.693,0.102,1.588,-1.282,-0.504
88771,-0.724,0.692,0.106,3.893,-2.305,-1.053
89021,-0.718,0.692,0.106,2.183,-1.023,-0.702
89271,-0.716,0.689,0.104,0.397,-0.916,-0.473
89521,-0.718,0.696,0.104,0.137,0.870,-0.107
89771,-0.708,0.693,0.105,2.076,-1.466,-0.885
90021,-0.713,0.695,0.109,-1.145,0.718,0.000
90271,-0.710,0.697,0.103,-3.237,2.031,-0.382
90521,-0.722,0.695,0.112,-1.908,2.122,0.015
90771,-0.708,0.684,0.113,-1.389,1.008,-0.107
91021,-0.721,0.693,0.114,0.351,-0.244,-0.260
91271,-0.717,0.692,0.119,-0.031,0.718,-0.687
91521,-0.721,0.693,0.115,2.305,-0.916,-0.794
91771,-0.719,0.696,0.119,2.824,-2.061,-0.229
92021,-0.716,0.692,0.113,2.092,-0.763,-0.519
92271,-0.719,0.694,0.114,0.687,1.115,0.244
92521,-0.712,0.696,0.113,-1.679,1.206,-0.076
92771,-0.714,0.695,0.110,-1.069,1.099,-0.336
93021,-0.718,0.699,0.116,-0.336,0.321,-0.290
93271,-0.711,0.697,0.112,0.092,-0.443,-1.695
93521,-0.720,0.701,0.116,1.008,-1.725,-1.527
93771,-0.722,0.689,0.126,-0.290,0.198,-0.901
94021,-0.720,0.680,0.117,-0.794,2.061,-1.069
94271,-0.721,0.685,0.132,0.076,0.397,-0.305
94521,-0.723,0.685,0.128,0.153,-0.290,-0.305
94771,-0.725,0.681,0.126,1.924,-0.779,-0.977
95021,-0.723,0.685,0.127,2.840,0.153,-0.672
95271,-0.728,0.684,0.122,0.595,0.366,-0.229
95521,-0.718,0.679,0.115,0.733,1.053,-1.038
95771,-0.737,0.678,0.109,-2.611,4.626,-1.115
96021,-0.724,0.671,0.112,0.076,1.023,-3.191
96271,-0.742,0.669,0.100,0.168,2.779,-1.191
96521,-0.746,0.668,0.095,-1.038,3.282,-1.252
96771,-0.744,0.670,0.097,-0.870,0.137,-0.260
97021,-0.750,0.674,0.099,3.634,-2.595,-1.389
97271,-0.750,0.659,0.089,0.763,0.733,-0.748
97521,-0.741,0.663,0.092,5.115,-4.198,-1.969
97771,-0.749,0.666,0.093,4.718,-3.466,-0.534
98021,-0.745,0.660,0.091,1.344,-1.557,0.198
98271,-0.743,0.667,0.097,1.069,0.595,-0.962
98521,-0.747,0.663,0.092,-2.885,3.221,-0.305
98771,-0.757,0.659,0.068,1.939,4.107,-2.718
99021,-0.758,0.654,0.083,2.305,0.992,-1.405
99271,-0.763,0.648,0.087,-0.198,-0.656,-0.992
99521,-0.761,0.657,0.080,-0.260,-0.962,-0.275
99771,-0.758,0.655,0.085,2.412,-1.710,1.450
100021,-0.753,0.652,0.079,0.489,-1.252,0.580
100271,-0.750,0.652,0.095,1.771,-2.855,0.504
100521,-0.759,0.649,0.107,-5.038,-1.405,-4.260
100771,-0.768,0.654,0.108,-1.328,2.885,2.702
101021,-0.747,0.670,0.095,2.137,-2.489,-4.092
101271,-0.750,0.641,0.114,0.626,0.519,-0.458
101521,-0.761,0.651,0.113,1.740,-0.412,-0.855
101771,-0.755,0.653,0.103,-1.466,2.443,-0.427
102021,-0.762,0.641,0.099,0.092,0.046,-1.023
102271,-0.760,0.645,0.104,-1.420,0.519,-0.489
102521,-0.766,0.641,0.112,0.046,-0.137,-0.718
102771,-0.769,0.644,0.117,1.435,-2.427,-1.328
103021,-0.766,0.637,0.115,-2.061,0.779,-1.069
103271,-0.760,0.612,0.124,0.443,5.435,4.031
103521,-0.769,0.649,0.109,3.664,-2.076,-2.107
103771,-0.761,0.621,0.110,0.763,-0.137,-1.160
104021,-0.776,0.634,0.112,2.565,-3.389,-0.855
104271,-0.769,0.630,0.111,1.634,-1.298,-0.992
104521,-0.771,0.636,0.118,2.366,-0.977,-0.321
104771,-0.765,0.629,0.111,-1.863,2.901,0.763
105021,-0.790,0.635,0.105,6.947,-2.901,-5.557
105271,-0.780,0.626,0.089,0.702,-1.817,1.695
105521,-0.782,0.626,0.099,-4.611,1.099,0.565
105771,-0.770,0.612,0.108,4.824,5.344,-8.183
106021,-0.802,0.610,0.086,6.656,0.580,7.618
106271,-0.846,0.527,0.132,6.122,-4.550,-5.038
106521,-0.801,0.591,0.044,2.824,3.527,3.282
106771,-0.848,0.631,0.101,-5.328,8.137,3.588
107021,-0.741,0.560,0.043,3.985,-1.847,0.015
107271,-0.807,0.601,0.059,1.527,-0.672,2.519
107521,-0.796,0.570,0.073,6.061,9.710,-8.748
107771,-0.819,0.598,0.070,-2.290,-3.664,1.130
108021,-0.798,0.520,0.076,-0.397,-1.298,-3.313
108271,-0.838,0.578,0.068,11.038,-12.626,-5.634
108521,-0.842,0.647,0.023,25.588,3.710,8.641
108771,-0.800,0.586,0.120,10.107,-39.298,6.015
109021,-0.736,0.736,0.131,17.008,-14.122,-2.260
109271,-0.911,0.620,0.249,21.466,-6.504,11.130
109521,-0.774,0.402,0.192,2.366,6.153,-18.840
109771,-0.804,0.470,0.153,58.916,-65.557,7.130
110021,-0.843,0.564,0.106,83.420,-59.679,-4.275
110271,-0.678,0.563,0.196,54.992,-9.939,6.718
110521,-0.603,0.514,0.049,5.679,-4.733,4.656
110771,-0.873,0.679,-0.057,9.038,8.321,-11.252
111021,-0.922,0.743,0.326,-43.008,-6.977,-22.351
111271,-0.815,0.532,0.080,16.977,-6.779,2.733
111521,-0.921,0.883,0.285,21.191,-9.435,-10.321
111771,-0.436,0.595,0.177,28.321,-18.885,2.229
112021,-0.910,0.659,0.182,6.336,13.450,-9.557
112271,-0.771,0.661,0.327,130.626,17.435,-35.893
112521,-0.806,0.496,-0.039,2.137,-16.718,27.313
112771,-1.181,0.675,-0.009,24.214,-47.435,10.137
113021,-0.636,0.411,0.108,20.168,-29.511,-8.290
113271,-0.996,0.932,0.257,199.191,3.237,24.962
113521,-0.465,0.817,0.594,108.061,-25.725,-58.137
113771,-0.968,0.292,-0.082,114.901,-131.710,2.519
114021,-0.964,0.125,0.283,47.740,72.260,52.565
114271,-0.795,0.277,-0.389,177.252,-3.878,6.000
114521,-0.989,0.178,-0.226,-16.519,21.481,-7.725
114771,-1.420,0.121,0.002,-118.351,-55.985,3.603
115021,-0.819,0.104,0.042,61.634,67.359,-88.534
115271,-0.848,0.094,0.631,-73.817,20.763,-95.038
115521,-0.788,0.106,0.618,68.763,-52.000,-54.504
115771,-0.588,0.024,0.715,27.130,-111.756,-63.588
116021,-0.122,0.203,1.019,-19.420,-3.817,5.176
116271,-0.147,0.046,1.034,35.389,-32.305,-29.542
116521,-0.158,0.064,1.139,21.893,32.656,-15.008
116771,0.157,-0.047,1.114,-114.504,-68.901,-92.656
117021,0.149,-0.654,1.312,-0.046,161.252,138.168
117271,0.225,-0.335,1.126,18.473,146.809,-91.420
117521,-0.080,-0.182,1.183,-96.641,-14.137,62.580
117771,-0.216,-0.886,0.269,120.611,-103.084,-109.069
118021,0.576,-0.174,-0.011,250.130,-250.122,-250.122
118271,0.083,0.860,-0.283,-250.122,113.298,55.725
118521,0.369,0.937,0.469,92.855,18.809,7.710
118771,0.573,0.702,0.699,-86.763,44.137,56.366
119021,0.790,-0.194,0.503,64.992,-15.649,209.969
119271,0.553,-0.207,0.767,28.748,-28.748,66.733
119521,0.505,-0.163,0.876,24.580,-3.023,50.504
119771,0.507,-0.222,0.756,10.992,-23.725,-0.840
120021,0.543,-0.058,0.954,29.176,-63.115,-71.237
120271,0.266,-0.125,0.871,-1.130,-68.656,-53.802
120521,0.343,-0.649,0.508,-129.282,26.153,113.405
120771,0.293,-0.528,0.810,219.450,15.893,-97.252
121021,0.332,-0.320,0.961,-26.855,-145.496,-54.534
121271,0.411,-0.682,0.926,-92.397,235.450,-36.855
121521,0.123,-0.341,0.543,210.198,164.519,-98.931
121771,0.455,-0.639,0.898,-51.985,-59.863,-24.534
122021,0.139,-0.496,0.560,-19.603,-10.305,9.908
122271,0.304,-0.555,0.785,-60.840,72.794,26.489
